"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AB000778_s_at",1.04852988594171,7.16277996082775,5.05840278397369,0.000419457305400044,0.00573106340095495,-0.00916864025453279
"D28508_at",1.04684831757726,6.74071841461226,5.73450257393148,0.000154885960237237,0.00289966290239883,1.02059153581387
"rc_AA875043_at",1.04615690748836,6.07401002437391,6.1865195623276,8.24566407005198e-05,0.00183227281856918,1.67219798345857
"AB003042_at",1.04603648002771,8.8634716210405,5.65948765738122,0.000172438510927684,0.00313488937531547,0.909598458547958
"L35767_at",-1.04410941211648,6.01228596411201,-6.21492677831209,7.93272321380988e-05,0.00179470212211228,1.71216983151704
"rc_AI102839_at",-1.0436074323127,7.44804680394376,-6.90354674831523,3.20699493053449e-05,0.000956554182839763,2.64658008772547
"rc_AA893666_at",1.04347385106929,5.73649391473307,5.91932434018258,0.000119287469240098,0.00236784379586857,1.29057868291722
"X75207_s_at",-1.04320421147318,8.67849873728343,-6.03071385297453,0.000102147313037412,0.00214509357378565,1.45091482446124
"rc_AA925246_at",1.04310092152008,6.72273983775973,5.48871689082221,0.000220825558962318,0.00370809941471266,0.653879364324962
"rc_AA900505_at",-1.04279069719164,9.66347182510854,-5.48724173882939,0.000221301825695518,0.00370901859865687,0.651651986451082
"K00996mRNA_s_at",-1.04243009347175,11.0808940121769,-5.81360191426917,0.000138426908572348,0.00263640339508244,1.13674456290352
"AJ010828_at",-1.03969276333802,7.75620079124507,-6.93068878316934,3.09835247692859e-05,0.000933643953578583,2.68207804098763
"D10729_s_at",1.0396685701375,9.86699427553926,7.64026478638285,1.29837830218976e-05,0.000514613994638184,3.57589379185792
"X05834_at",1.03966167395131,10.367904957088,6.2426360209868,7.6397122456496e-05,0.0017480280083285,1.75104902235295
"rc_AA800711_at",-1.03961743964439,6.03094208358668,-5.50282454420762,0.000216325591604847,0.00366047861640587,0.675165016642631
"rc_AI229440_s_at",-1.03919826718094,10.0578398125023,-6.45799092143726,5.72200909343884e-05,0.00141825233839911,2.04951706597346
"Y17607_s_at",-1.03866564745767,7.51991282080676,-5.17044567033482,0.000354024389033854,0.00509770141157361,0.166029204019259
"X62322_at",1.03656009245938,10.2084839594564,7.0713035809039,2.59547271963452e-05,0.000827609240251465,2.8644075617157
"AJ002745cds_at",-1.03636999811889,7.8393877002639,-4.98913280739403,0.000466244546319966,0.0062158875198021,-0.118372966332023
"M91466_at",1.03531322917491,6.7402164517439,5.4350550834434,0.000238875737209831,0.00392521161244841,0.572650865248353
"X61381cds_s_at",-1.03402457855684,11.0916459615266,-6.20712311111478,8.01740130515877e-05,0.00180884907907928,1.70120071443223
"L14323_at",-1.03187735414374,6.21601566966773,-5.29676411886078,0.000293040468323349,0.00443797432147529,0.361398653457269
"M64780_at",-1.03033204664574,9.47600035620204,-6.15451381111678,8.61417926760161e-05,0.00189490408439067,1.6270249343208
"rc_AI176658_s_at",-1.02994504066029,11.0947294768129,-5.52397258983788,0.000209762162182257,0.00358366168360772,0.707019179277621
"X54467_at",1.02847545704285,11.3634526148273,7.28265933466267,1.99781144701306e-05,0.00069481197321217,3.13356206878182
"X62875mRNA_g_at",1.02769911530611,7.654079064696,6.55318409888973,5.0454709148357e-05,0.00129670624261792,2.17937633815472
"U28356_at",1.02687602768395,6.79560388546625,6.42618627831094,5.96925933406484e-05,0.00145874476782234,2.00584840784835
"S48325_s_at",-1.02283369528028,7.26837759299621,-6.27384159571778,7.32356455461294e-05,0.00170928500042544,1.79470350471525
"X13309_at",1.02081808450888,4.65565660633763,4.76231166360412,0.000662327159331902,0.00814105456926858,-0.48063350978741
"D85035_g_at",-1.02013301202992,5.16653275110233,-6.39270523532405,6.24198631890904e-05,0.00150474623616659,1.95972484667776
"rc_AI105448_at",-1.01822103644012,10.5265485756453,-5.5646941416328,0.00019771478819982,0.00343134599875782,0.768173172899796
"rc_AA893781_g_at",1.01758298500566,6.40584546138879,5.45770364693904,0.000231072658874285,0.00385077334362658,0.606985130605242
"X76454_at",1.01753432709241,6.15114801211282,6.97006294370715,2.94773172165903e-05,0.000900593452044367,2.73339844977195
"rc_AA685175_at",1.01615333471454,7.43875117656598,7.40691554404555,1.71712126023269e-05,0.000634829830621322,3.28909671442148
"AF034218_g_at",-1.01608683525068,8.50445507560182,-4.80337155067304,0.000621210709350642,0.00775323834266142,-0.414531532013873
"AJ011606_at",-1.0155654845639,7.38308236578006,-6.54957069538307,5.06951866644577e-05,0.00129670624261792,2.17447007310533
"AF081148_s_at",-1.01448018543458,6.47016164304938,-5.43439238657371,0.000239108242331213,0.00392521161244841,0.571645126404235
"AJ223184_at",1.0138920523854,5.641074098795,4.8469939787734,0.000580472687411412,0.0073069802239385,-0.344556135537511
"rc_AI236158_at",1.01275125734217,7.08882095398907,6.69814433553539,4.17501676498691e-05,0.00114442281978567,2.37471470705769
"X80130cds_i_at",-1.01062978272423,7.57269408175484,-7.46173864042038,1.60707802829615e-05,0.000611802496342006,3.35709331043948
"rc_AA800680_at",-1.01060293088975,8.03862717875157,-4.93832550727574,0.00050406666178059,0.0066001228526896,-0.198899067998641
"U16245_at",-1.01043254201142,9.56721113013488,-5.97047564413145,0.00011106242855532,0.00225690140613917,1.36442859616847
"rc_AA859508_at",-1.00971728347203,7.92301042839685,-7.01020945474009,2.80224084695884e-05,0.000869351211805298,2.78551244966754
"U56863_at",1.00713162348724,3.78910829881443,6.60082632617168,4.73961385200116e-05,0.00125614043023368,2.24389558209693
"J05495_at",1.00521420779753,7.3502226296274,6.52715698578398,5.22146367810631e-05,0.0013278514134005,2.14399632706539
"U56839_at",1.00506650718483,8.31704059772968,5.67234775681235,0.000169284561043345,0.00309032127099667,0.928684397637817
"X02610_at",1.00417951340357,10.1083674453639,7.22835581816664,2.13568572603617e-05,0.000728368166798151,3.06496443935135
"rc_AA849716_at",-1.00324929981332,6.94325835549004,-4.7359468169396,0.000690238639206269,0.00836557821814871,-0.523198488236658
"S56937_s_at",1.00243315661716,7.41408323639672,5.24192326150435,0.000318018291210922,0.00472676173034612,0.276860701162001
"D90404_g_at",1.00134998397112,9.07625892148878,5.91445043583754,0.000120104535912905,0.0023695063038064,1.28352227905378
"rc_AA892918_at",-1.00113351880876,9.60213877475356,-6.55938339733634,5.00449869685421e-05,0.00129513482451824,2.18778950170785
"S77900_at",-1.00087601713641,9.49017341991915,-5.97607797212025,0.000110199173616674,0.00225177562074634,1.37249407948272
"D84346_s_at",-1.00016940545566,9.22077505163693,-5.34125183865863,0.000274312971263118,0.00431785301278028,0.429659015428198
"rc_AA892332_at",0.999550575013373,9.4877050084339,7.16644198774442,2.30550999830127e-05,0.00076827460762234,2.98628569651113
"U43534_at",-0.998165440533089,7.60932219764541,-6.59705546473989,4.76308078812231e-05,0.00125856900464529,2.23880035872041
"J02962_at",0.998022184907589,10.5756574181657,5.27222346394508,0.000303949464477655,0.00457171168878442,0.323622349177808
"S68809_s_at",-0.995824688942873,7.47160449627596,-6.8890860667099,3.26654565897144e-05,0.000964507894405694,2.62762714844077
"X66494_at",-0.994669940275866,7.14965961830765,-6.76573345896919,3.82567409824467e-05,0.00107938236177515,2.46480673399378
"U69272_at",-0.994058857425486,7.40128047246285,-6.92431092410336,3.12352036646638e-05,0.000938015553055893,2.67374558548908
"D10757_g_at",0.993719293639222,9.34524782141506,6.73889509350567,3.96047553102158e-05,0.00110629283166536,2.4291075698846
"rc_AA893663_at",0.99320142891469,8.53907526728401,5.60936718910242,0.000185342594318798,0.003292571312372,0.834984659232846
"X13167cds_s_at",-0.993111164447773,6.03797947817056,-4.89941208559794,0.000535229821058412,0.0068837960973495,-0.260817601407418
"rc_AI237535_s_at",0.99207487708213,9.41109356539264,6.2431409272505,7.63448202185718e-05,0.0017480280083285,1.75175645124969
"K01721mRNA_s_at",-0.991519606498208,11.4666594576765,-4.69224769401121,0.000739275030483283,0.00877851685994926,-0.593954826978326
"AF063103_at",-0.990521011689365,5.74341608760108,-5.87128405387652,0.00012760792868793,0.00247317657384383,1.22087663830816
"rc_AA800570_at",-0.989453754375227,6.0571823521023,-4.58900066183059,0.000870345796963843,0.00992745696336057,-0.762136482903942
"D28773_s_at",0.986540767714493,7.19953975371377,7.00067729447872,2.8360711389318e-05,0.00087253811019094,2.77315822930751
"AF063103_g_at",-0.98632002378297,6.35303680605188,-5.94027262237587,0.000115842797930845,0.00233249606177004,1.32086844835334
"D89983_at",-0.986216990877994,7.55760356967987,-5.21319239385189,0.000331999623779344,0.00488505800942216,0.232399239576617
"M81687_at",-0.984729347565395,6.95807642006218,-6.30288215779183,7.04193427132099e-05,0.00165673742388646,1.83520536610036
"U64451_at",-0.984310407979052,5.20812373833056,-4.74758798640866,0.000677764215987297,0.0082713555290877,-0.504392721856302
"M81642_at",-0.983451457369878,10.1019392381097,-4.87828443831238,0.000552998993209531,0.00704173392366232,-0.294523622843141
"U40001_at",-0.9827356794137,8.83945104938127,-7.13665916140386,2.39233718404803e-05,0.000788396063012684,2.94825993301067
"AA684960_f_at",-0.980333987603936,8.23777292298927,-6.19217385655226,8.1823355497052e-05,0.00182996316435028,1.68016330661436
"rc_AA891724_at",-0.980068988013177,6.71533422781871,-4.73080331785898,0.000695827419044659,0.00841014486287631,-0.53151338590143
"D14046_at",-0.979475648798067,5.64745531934866,-5.87511125664208,0.000126922825634012,0.00246977455773873,1.22644177559866
"rc_AA894258_at",-0.979397430511572,7.11316855438774,-6.5678292338415,4.94925305799584e-05,0.00128841649873685,2.19924290153532
"rc_AA859911_at",-0.978227456943983,7.09368804989506,-6.05474294318274,9.88076872833709e-05,0.00209946866945405,1.48526882248262
"AF003825_s_at",-0.978055200208547,7.13707176113682,-5.03335300047464,0.000435774127060026,0.00592070614701347,-0.0485816528253071
"M25350_s_at",-0.974886280207574,7.27826144250783,-5.03060778859123,0.000437602828450717,0.00593292340144508,-0.0529063189559738
"rc_AI169327_at",0.974773299561917,9.30227501010624,6.68208162979782,4.26298776373117e-05,0.00116490774326306,2.35321222855742
"U75917_at",0.973111222090276,8.91786141426613,6.09050215077056,9.40525019654211e-05,0.00203102875248122,1.53623988201842
"D10757_at",0.972577394328139,8.72013887470914,7.01289552947879,2.79278645831137e-05,0.000869351211805298,2.78899157259637
"X64827cds_s_at",-0.967512889583166,6.51809077022885,-6.22408769214846,7.83453949685505e-05,0.00178129491040898,1.72503569618727
"AJ009698_at",0.966753797221072,8.07252538623455,6.34451828205395,6.65824165552996e-05,0.001587692908591,1.89306587167832
"rc_AI010581_at",0.965359870997494,7.97938454608172,4.58770689640396,0.000872135950980534,0.00992745696336057,-0.764252800482954
"M91595exon_s_at",-0.965088552805095,7.67254210780389,-5.32033014156884,0.000282956272252949,0.00437562783752846,0.397593050806636
"rc_AA892264_at",0.964967669072192,6.03636469617216,6.45113092239475,5.7743933057352e-05,0.0014232181147665,2.04011006941202
"U58858_at",-0.963641119182732,10.029692623743,-6.42435230244808,5.98386229905274e-05,0.00145874476782234,2.00332598875867
"X77933_at",-0.960964347271576,7.461393013185,-5.49186954810017,0.000219811354026945,0.00369812639404033,0.658638602290849
"rc_AA963839_s_at",-0.958820734496097,9.19895081362079,-4.99250452796484,0.000463843450958342,0.00621211343224118,-0.113041808131682
"U72632_at",-0.957138489609834,7.85901761194787,-5.52110275762231,0.000210640237449494,0.00358366168360772,0.702700308476198
"K01933_at",0.955890462738879,8.4711483713582,4.9183102762554,0.000519847995048752,0.00673658690491011,-0.230720758819941
"rc_AA892578_at",-0.955820585996336,7.24764799700571,-6.31353456502509,6.94156107905822e-05,0.0016419031165224,1.85003200762115
"U75928UTR#1_s_at",-0.955538356553582,11.1693088352775,-5.37852833555748,0.000259602202100816,0.00415316322960924,0.486634863918575
"rc_AA859693_at",-0.954847460408812,7.41397495840234,-5.30170266225043,0.000290895951474495,0.00443080555727558,0.368990251014015
"M15562_g_at",0.953437837877376,12.2566843390814,6.90817123614082,3.18819821369494e-05,0.000954182179670128,2.65263525529576
"D90404_at",0.953396331139526,10.511717092595,5.34618847321927,0.000272314794873979,0.00431337167369059,0.437216017387798
"rc_AA875257_at",0.953074311498016,8.20066965931215,6.64210424932056,4.49070411131212e-05,0.00120837019802555,2.29954235967688
"rc_AA799607_at",-0.951704361062006,8.58432999161785,-4.98313646712707,0.000470547339985163,0.00625429916092061,-0.12785795257997
"U56241_at",0.950815409446609,6.08059246525855,7.01350873826247,2.79063291910364e-05,0.000869351211805298,2.7897856932938
"M13962mRNA#2_at",0.948412850998228,7.25071394271672,5.50397273069311,0.000215963678860421,0.00366047861640587,0.676896132836355
"AB012230_g_at",-0.948407109082244,7.893260492996,-5.57915521627075,0.00019361600194584,0.00339367968350887,0.789832356303299
"rc_AA891524_at",0.948192126398198,7.33840925010376,5.04786604066163,0.000426240235912482,0.00581470982293632,-0.0257362211227656
"rc_AA891814_at",0.945076656887561,6.97929682412517,6.05318750860109,9.90202861488161e-05,0.00209946866945405,1.48304755097358
"Y13275_at",-0.945070758547509,9.87516052475013,-5.12922416342833,0.00037673916851797,0.00531238452530387,0.101780066979924
"rc_H31839_at",0.944096310360783,7.9776813185695,5.92530530659136,0.000118292933262752,0.00236530854637311,1.29923320075195
"D45920_at",-0.943812980135855,4.84921770007629,-5.55594679495747,0.000200238965032651,0.00345471108494568,0.755057042953585
"rc_AA799494_at",-0.942755702171342,8.86216166350742,-6.45479465417738,5.74635259973308e-05,0.00142028529564751,2.04513489937283
"U87983_at",0.942604407296161,5.22958771535068,6.26735831557921,7.38807361094278e-05,0.0017197793572139,1.78564519636733
